temperature,humidity,ph,rainfall,N,P,K,water_score,crop_label,crop_name
26.988962852336698,47.01086944283389,7.0739814522761675,201.51194714179016,146.85090555000517,40.495877754336355,67.15910054573533,16.439408691584184,2,Maize (Corn)
40.81714335383799,46.053621939679985,8.12444548184994,68.26818138944654,140.58377083849427,36.62664914198331,12.603094127763981,17.87409770245273,3,Pearl Millet (Bajra)
35.56785460347372,88.90654773386738,7.920724184055715,264.27047773934817,28.193297746037956,21.734621687771707,28.021332088105204,67.37368682522055,1,Cotton
32.36780362072888,46.220502990217895,5.192549571121981,191.67254693938762,185.28875693210202,62.690333659641354,78.49953791552882,52.85078276505385,4,Groundnut (Peanut)
21.744447370618477,47.676732198361016,5.171622613836632,64.01708739594719,118.00971840979572,50.27929524831974,55.22515609948787,79.5565420280905,7,Sugarcane
21.743868488068863,79.36088705716764,5.70678465485211,289.4546560947379,79.10784901578,87.24159427078035,93.15706086976925,90.63183368623076,7,Sugarcane
19.394006692036786,59.2330897592851,6.124836268534668,165.14232973388977,153.74233086410825,8.050410145795535,45.73138379242866,44.17628523509618,5,Soybean
38.788227498598445,80.48618620208677,6.338050116338172,40.4115665240634,58.89943709631047,66.16745311773701,87.6321747523227,62.48408233944887,6,Chilli
32.42676028183701,34.24880024168504,7.558637475750054,195.51321323621883,141.76686903880088,77.4801434585983,47.650766560432565,54.06130324598727,1,Cotton
34.99374186710509,61.69212758876998,4.755061944746259,90.89569396358687,17.545129438726974,77.15122407288916,98.0285864766886,96.38173769653409,4,Groundnut (Peanut)
18.49402786309926,32.18488401191337,4.656027169017299,245.03416652564468,169.48752714576167,89.17702687407488,96.1842662328933,83.13542784738037,5,Soybean
41.277836451887865,34.072458224598044,6.263597533247591,248.99018059853339,95.15246093405051,74.25820556880194,36.26798702782763,90.23291832840711,0,Paddy (Rice)
37.97862337921012,88.9184344673867,7.637236614620912,294.1052596393053,130.97165372800893,93.14195585653115,89.1627486895963,32.38192770682917,3,Pearl Millet (Bajra)
23.096138656278626,39.05094912264369,5.370459043304171,160.52346868686104,52.035185763269894,36.602376982984694,85.52308055048668,77.9823252383083,0,Paddy (Rice)
22.363799212970413,64.60734434788911,7.386770165653132,147.3879263237664,138.6440054051051,52.80489459139659,25.014637746118467,33.3616437997931,2,Maize (Corn)
22.401708236482413,56.72121416904592,5.669226620731347,230.97316952501458,156.72565241972256,6.337568011874614,64.30758807441063,28.36934294169831,5,Soybean
25.301813831028905,52.577316206824776,8.487387489660824,57.09178377573944,99.91050550803575,5.660970793812665,11.90481998103241,93.09542204968847,1,Cotton
30.594154359173707,88.48916746967271,8.530604749199775,173.13634386207477,127.36811557174092,27.81202894289439,84.48751845542886,11.698788671172265,3,Pearl Millet (Bajra)
28.36668044741078,31.418520790406816,5.837792419265969,172.94932803663826,96.70192552625572,14.5766837282131,21.58185893283217,94.95420592238182,0,Paddy (Rice)
24.989499364753005,73.1463296014133,5.534971892834582,45.05247438690842,179.87736015899065,29.720079953896594,11.727396631647629,23.135046935014948,8,Red Gram (Arhar)
32.6844694733371,92.62063822388077,6.350867874298041,137.0355439419358,104.59514429772064,21.819112980197755,43.020814076187065,82.1105511978076,5,Soybean
21.347852655649003,66.41093192501972,5.58239213331067,258.9197435988166,169.9436547154756,7.709402359671582,59.80760316696613,34.281184669993074,5,Soybean
25.011471564845237,90.89346003215097,7.525727294812667,259.72301415850484,162.25689107134724,91.38389390857469,86.21711106317825,40.86180481390401,1,Cotton
26.7926842390486,33.396762153591546,8.217291080467284,47.78654617751068,87.99591605618774,5.7811974819446945,97.55303992456497,29.074678596334678,8,Red Gram (Arhar)
28.94567962120886,57.22156573982049,7.528914589100476,45.40184716939264,53.71605345292026,74.92780371202312,46.75178869413705,61.525235738335006,1,Cotton
36.844223073432325,46.91025641253333,8.209577012622074,93.55473356054188,87.15560518635648,19.45404925735407,10.74245768360067,40.63240818069292,1,Cotton
22.792170771800635,77.50336272374744,6.286464729933634,264.9344975151182,166.98130139729182,91.66181408996201,76.16598000745772,67.85058747553036,2,Maize (Corn)
30.341626521926678,93.78431088232104,5.203426368189874,56.09272382057971,53.25018180568455,89.81561426103914,58.691459341274054,11.376963978901806,3,Pearl Millet (Bajra)
32.217949652689015,46.67445405887611,7.820779263289165,221.59910473568496,109.64290571297238,67.12060890507945,47.549677760224,15.664989749323485,3,Pearl Millet (Bajra)
